车型,版本,指导价(万元),厂商,级别,能源类型,发动机,最大功率(kW),最大扭矩(N·m),变速箱,最高车速(km/h),官方0-100km/h加速(s),长*宽*高(mm),轴距(mm),整备质量(kg),后备厢容积(L),主要配置,座椅材质,天窗类型,驾驶辅助,中控屏幕尺寸(英寸),音响系统,适用场景,推荐人群,亮点标签
红旗H9,2025款 改款 2.0T 两驱旗享豪华商务版,32.98,一汽红旗,中大型车,汽油+48V轻混,2.0T 252马力 L4,185,380,8AT,230,7.8,5137*1904*1498,3060,1915,370,"360度全景影像、定速巡航、真皮方向盘、前排座椅加热/通风、主动降噪、旗偲OS车机系统",仿皮,可开启全景天窗,"L2级驾驶辅助（选装，约10000元）",12.3,"12喇叭 BOSE音响","商务接待、日常通勤","商务人士、行政用户","C+级豪华、全系8AT、BOSE音响"
红旗H9,2025款 改款 2.0T 两驱旗享私享风尚版,32.98,一汽红旗,中大型车,汽油+48V轻混,2.0T 252马力 L4,185,380,8AT,230,7.8,5137*1904*1498,3060,1915,370,"360度全景影像、定速巡航、真皮方向盘、前排座椅加热、驾驶席座椅记忆、旗偲1.0系统、矩阵式LED大灯、253色氛围灯",仿皮,可开启全景天窗,"L1级驾驶辅助（定速巡航）、360度全景影像、前后驻车雷达",12.3,"12喇叭 BOSE音响","商务接待、日常通勤","商务人士、行政用户","C+级豪华、纵置后驱、BOSE音响、大气稳重"
红旗HS5,2026款 2.0T 两驱旗韵Pro版,18.68,一汽红旗,中型SUV,汽油,2.0T 252马力 L4,185,380,8AT,215,7.6,4785*1905*1700,2870,1755,500,"12.3英寸中控屏、全景天窗、手机互联（Carlink/华为HiCar）、360°全景影像、透明底盘",仿皮,可开启全景天窗,"L2级驾驶辅助、定速巡航、540度全景影像/透明底盘",12.3,"12喇叭 BOSE音响","家庭出行、城市通勤","年轻家庭、首购用户","中型SUV、2.0T+8AT"
红旗HS5,2026款 2.0T 两驱玄影版,20.38,一汽红旗,中型SUV,汽油,2.0T 252马力 L4,185,380,8AT,215,7.6,4785*1905*1700,2870,1755,500,"双12.3英寸一体式联屏、全景天窗、手机互联（Carlink/华为HiCar）、360°全景影像、透明底盘、20英寸轮毂",仿皮,可开启全景天窗,"L2级驾驶辅助、定速巡航、540度全景影像/透明底盘",12.3,"12喇叭 BOSE音响","家庭出行、城市通勤","年轻家庭、首购用户、追求个性外观","中型SUV、2.0T+8AT、黑化运动风格"
红旗H5,2026款 1.5T DCT旗韵Pro版,15.98,一汽红旗,中型车,汽油,1.5T 169马力 L4,124,258,7挡湿式双离合,215,9.5,4988*1875*1470,2920,1565,510,"15.6英寸2.5K中控屏、高通8155P芯片、豆包AI大模型、CarPlay互联",仿皮,可开启全景天窗,"360度全景影像、前后驻车雷达",15.6,"6喇叭","日常通勤、家庭用车","年轻用户、性价比追求者","B级车、越级尺寸（近5米车长）"
红旗H5,2026款 1.5T DCT玄影Pro版,16.28,一汽红旗,中型车,汽油,1.5T 169马力 L4,124,258,7挡湿式双离合,215,9.5,4988*1875*1470,2920,1560,510,"15.6英寸2.5K中控屏、高通8155P芯片、豆包AI大模型、CarPlay互联、数字蓝牙钥匙、远程控制",仿皮,可开启全景天窗,"360度全景影像、前后驻车雷达",15.6,"6喇叭","日常通勤、家庭用车","年轻用户、颜值控","B级车、越级尺寸、玄影运动外观"
红旗E-QM5,2025款 610km PLUS版,20.18,一汽红旗,中型车,纯电动,"前置单电机（永磁同步）",110,205,单速变速箱,130,无,5040*1910*1569,2990,1805,433,"10.1英寸中控屏、仿皮座椅、远程控制、4G网络",仿皮,无,"定速巡航、倒车影像",10.1,"4喇叭","网约出行、城市代步","出行行业用户、纯电刚需","纯电中型车、610km续航"
红旗E-QM5,2024款 560km PLUS版,19.98,一汽红旗,中型车,纯电动,"前置单电机（永磁同步）",140,320,单速变速箱,160,无,5040*1910*1569,2990,1810,433,"10.1英寸中控屏、仿皮座椅、远程控制、4G网络、自动空调",仿皮,无,"定速巡航、倒车影像",10.1,"4喇叭","网约出行、城市代步","网约出行、城市代步","纯电中型车、560km续航、超大后排空间"
红旗HS7,2025款 2.0T 自动两驱旗悦版（五座）,25.58,一汽红旗,中大型SUV,汽油+48V轻混,2.0T 252马力 L4,185,380,8AT,210,8.5,4995*1960*1760,2920,1920,210-1847,"12.6英寸中控屏、全景天窗",仿皮,无,"L2级驾驶辅助、倒车影像、定速巡航",12.6,无,"大家庭出行、长途旅行","多成员家庭、SUV爱好者","中大型SUV、48V轻混"
红旗HS7,2025款 2.0T 自动四驱旗享版（六座）,28.58,一汽红旗,中大型SUV,汽油+48V轻混,2.0T 252马力 L4,185,380,8AT,210,8.8,4995*1960*1760,2920,2080,210-1847,"12.6英寸中控屏、可开启全景天窗、真皮方向盘、前排座椅加热/通风、多色氛围灯、丹拿音响",仿皮,可开启全景天窗,"L2级辅助驾驶、车道偏离预警、主动刹车、前后驻车雷达、360°全景影像、自适应巡航",12.6,"10喇叭丹拿音响","大家庭出行、长途旅行","多成员家庭、SUV爱好者","中大型SUV、48V轻混、适时四驱、6座布局"
